artist_name,count
Yannick Noah,2
Husky Rescue,2
Byrds,2
Jess Mills,2
TLF,2
Kool & The Gang,2
The Naked and Famous,2
DRY,2
Keri Hilson,2
Pulled Apart By Horses,2
Cypress Hill,2
Kathleen Edwards,2
Kelis,2
Cascada,2
Kaiser Chiefs,2
Tal,2
Tears for Fears,2
Manic Street Preachers,2
Brian Poole & The Tremeloes,2
Lenka,2
Fonky Family,2
Gary Jules,2
Santana,2
Rim'K,2
Game,2
Future,2
Waka Flocka,2
Grimes,2
Sway,2
Max Prosa,2
James,2
Manfred Mann,2
Simple Minds,2
All Saints,2
Glen Cambell,2
Parov Stelar,2
Little Amadeus feat. Heinz Rudolf Kunze,2
XXYYXX,2
All Time Low,2
Des'Ree,2
Westlife,2
Dario G,2
Dream Theater,2
Far East Movement,2
The Offspring,2
Lower Dens,2
Enigma,2
Azari & III,2
Cody Simpson,2
Mobb Deep,2
Ultravox,2
The Roots,2
RBD,2
CJ Taylor,2
Tina Turner,2
John Barrowman,2
Don,2
D'Banj,2
Paula Abdul,2
System of a Down,2
Texas,2
Avalanche City,2
Magnetic Man,2
Young Guns,2
Lostprophets,2
Ludacris,2
Enter Shikari,2
Daniele Negroni,2
Spandau Ballet,2
Raphael Saadiq,2
Black Lips,2
Groove Armada,2
Zedd,2
Leftfield,2
Human League,2
Frank Turner,2
Aretha Franklin,2
Peter Gabriel,2
Natalie Imbruglia,2
Kim,2
Pendulum,2
John,2
Manowar,2
Joe Jonas,2
Aerosmith,2
Nach,2
Ja Rule,2
Cher Lloyd,2
Daniel Merriweather,2
Jónsi,2
Doris Day,2
Korpiklaani,2
Pulp,2
Savage Garden,2
Will Young,2
Eric Prydz,2
Shinedown,2
Cream,2
PJ Harvey,2
Parachute,2
Gretchen Peters,2
A-Ha,2
Alannah Miles,2
Ryan Adams,2
The Waterboys,2
Eek-A-Mouse,2
Cee Lo,2
LEN,2
Jacques Brel,2
Counting Crows,2
Deadmau5,2
Heinz Rudolf Kunze,2
Patrick Swayze,2
The Crookes,2
Black Rebel Motorcycle Club,2
Belle & Sebastian,2
Wise Guys,2
Metro Station,2
Michael Schulte,2
Alexandra Burke,2
QOTSA,2
Anthony Hamilton,2
Kery James,2
Doctor P,2
Common,2
Azealia Banks,2
